id,pass,filter_row
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,2
11,1,2
12,1,2
13,1,2
14,1,2
15,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,4
21,1,4
22,1,4
23,1,4
24,1,4
25,1,5
26,1,5
27,1,5
28,1,5
29,1,5
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,1
36,0,1
37,0,1
38,0,1
39,0,1
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
50,0,4
51,0,4
52,0,4
53,0,4
54,0,4
55,0,5
56,0,5
57,0,5
58,0,5
59,0,5
60,0,6
61,0,6
62,0,6
63,0,6
64,0,6
65,0,7
66,0,7
67,0,7
68,0,7
69,0,7
70,0,8
71,0,8
72,0,8
73,0,8
74,0,8
75,0,9
76,0,9
77,0,9
78,0,9
79,0,9
80,0,10
81,0,10
82,0,10
83,0,10
84,0,10
85,0,11
86,0,11
87,0,11
88,0,11
89,0,11
90,0,12
91,0,12
92,0,12
93,0,12
94,0,12
95,0,13
96,0,13
97,0,13
98,0,13
99,0,13
